basename	read-index	count-variation-bases	bases-at-index/all-variations-bases	bases-at-index/all-reference-bases	count-reference-bases	count-reference-bases-at-index
CWSWOFK-exome-S1-Donor-ACR	63	131365	0.011954505446664333	0.000047	2771026282	27535589
CWSWOFK-exome-S1-Donor-ACR	64	130150	0.011843937760311824	0.000047	2771026282	27535228
CWSWOFK-exome-S1-Donor-ACR	65	134948	0.012280566368640493	0.000049	2771026282	27528148
CWSWOFK-exome-S1-Donor-ACR	66	137829	0.012542743738501871	0.000050	2771026282	27523223
CWSWOFK-exome-S1-Donor-ACR	67	138617	0.012614453480761768	0.000050	2771026282	27519917
CWSWOFK-exome-S1-Donor-ACR	68	145986	0.013285048773545001	0.000053	2771026282	27510219
CWSWOFK-exome-S1-Donor-ACR	69	148090	0.013476517425467368	0.000053	2771026282	27505299
CWSWOFK-exome-S1-Donor-ACR	70	176873	0.016095834064384428	0.000064	2771026282	27473246
CWSWOFK-exome-S1-Donor-ACR	71	153964	0.014011064412820974	0.000056	2771026282	27493020
CWSWOFK-exome-S1-Donor-ACR	72	165898	0.01509708479877227	0.000060	2771026282	27477854
CWSWOFK-exome-S1-Donor-ACR	73	173756	0.015812180172729475	0.000063	2771026282	27466622
CWSWOFK-exome-S1-Donor-ACR	74	167242	0.015219391770342452	0.000060	2771026282	27468888
CWSWOFK-exome-S1-Donor-ACR	75	173543	0.015792796701788667	0.000063	2771026282	27458425
CWSWOFK-exome-S1-Donor-ACR	76	160824	0.014635339580210441	0.000058	2771026282	27466656
CWSWOFK-exome-S1-Donor-ACR	77	168410	0.015325682352778444	0.000061	2771026282	27454716
CWSWOFK-exome-S1-Donor-ACR	78	172794	0.015724636045757367	0.000062	2771026282	27445010
CWSWOFK-exome-S1-Donor-ACR	79	173191	0.015760763923520285	0.000063	2771026282	27439094
CWSWOFK-exome-S1-Donor-ACR	80	178344	0.016229698316750304	0.000064	2771026282	27427551
CWSWOFK-exome-S1-Donor-ACR	81	187206	0.017036159910541186	0.000068	2771026282	27412544
CWSWOFK-exome-S1-Donor-ACR	82	190726	0.017356487693224995	0.000069	2771026282	27401781
CWSWOFK-exome-S1-Donor-ACR	83	191748	0.017449491952856486	0.000069	2771026282	27393276
CWSWOFK-exome-S1-Donor-ACR	84	199650	0.01816859142409724	0.000072	2771026282	27377461
CWSWOFK-exome-S1-Donor-ACR	85	204449	0.018605311034636897	0.000074	2771026282	27364270
CWSWOFK-exome-S1-Donor-ACR	86	208567	0.018980058139492557	0.000075	2771026282	27350061
CWSWOFK-exome-S1-Donor-ACR	87	212825	0.019367545553886777	0.000077	2771026282	27335211
CWSWOFK-exome-S1-Donor-ACR	88	214566	0.019525980403219876	0.000077	2771026282	27322277
CWSWOFK-exome-S1-Donor-ACR	89	219688	0.019992093727909215	0.000079	2771026282	27305186
CWSWOFK-exome-S1-Donor-ACR	90	219762	0.019998827891522453	0.000079	2771026282	27289248
CWSWOFK-exome-S1-Donor-ACR	91	227694	0.020720657429092897	0.000082	2771026282	27264598
CWSWOFK-exome-S1-Donor-ACR	92	227831	0.020733124731998488	0.000082	2771026282	27246954
CWSWOFK-exome-S1-Donor-ACR	93	237232	0.02158863651751283	0.000086	2771026282	27218633
CWSWOFK-exome-S1-Donor-ACR	94	212652	0.019351802171385556	0.000077	2771026282	27212183
CWSWOFK-exome-S1-Donor-ACR	95	214668	0.019535262628740828	0.000077	2771026282	27176489
CWSWOFK-exome-S1-Donor-ACR	96	221863	0.02019002353681185	0.000080	2771026282	27132867
CWSWOFK-exome-S1-Donor-ACR	97	222074	0.02020922500333068	0.000080	2771026282	27079759
CWSWOFK-exome-S1-Donor-ACR	98	1071	9.74633679699882E-5	0.000000	2771026282	27161793
CWSWOFK-exome-S1-Donor-ACR	99	270	2.4570596967223914E-5	0.000000	2771026282	27016245
CWSWOFK-exome-S1-Donor-ACR	100	132	1.2012291850642804E-5	0.000000	2771026282	26869628
CWSWOFK-exome-S1-Donor-ACR	101	74	6.734163613239147E-6	0.000000	2771026282	26639694
CWSWOFK-exome-S1-Donor-ACR	102	32	2.9120707516709826E-6	0.000000	2771026282	57
CWSWOFK-exome-S1-Donor-ACR	103	24	2.184053063753237E-6	0.000000	2771026282	34
CWSWOFK-exome-S1-Donor-ACR	104	14	1.2740309538560549E-6	0.000000	2771026282	20
CWSWOFK-exome-S1-Donor-ACR	105	13	1.1830287428663366E-6	0.000000	2771026282	7
CWSWOFK-exome-S1-Donor-ACR	106	3	2.730066329691546E-7	0.000000	2771026282	5
CWSWOFK-exome-S1-Donor-ACR	107	2	1.820044219794364E-7	0.000000	2771026282	3
CWSWOFK-exome-S1-Donor-ACR	108	1	9.10022109897182E-8	0.000000	2771026282	2
CWSWOFK-exome-S1-Donor-ACR	109	1	9.10022109897182E-8	0.000000	2771026282	1
CWSWOFK-exome-S1-Donor-ACR	110	1	9.10022109897182E-8	0.000000	2771026282	0
